benchmark_id,name,source_url,public_flag,detail_public_flag,is_top,hot,support_online_eval,certificate_level_id,certificate_level,card_description_cn,card_description_en,card_tags,basic_tags,dimensions,topic_tags,creator_uid,creator_name,github_url,paper_url,official_website_url,leaderboard_url,view_count,created_at,updated_at,review_success_date,detail_title,detail_description_cn,detail_description_en,detail_download_urls,detail_leaderboard_present,detail_eval_file_present
1604,EgoNormia,https://hub.opencompass.org.cn/dataset-detail/EgoNormia,1,1,False,False,False,0,未录入,"EgoNormia 是一个具有挑战性的问答基准，用于测试 VLMs 在上下文中推理规范的能力。该数据集包含来自 Ego4D 的 1,853 个物理基础化的以自我为中心的交互剪辑，以及每个剪辑对应的五选一多项选择题任务。","EgoNormia is a challenging QA benchmark that tests VLMs' ability to reason over norms in context. The datset consists of 1,853 physically grounded egocentric interaction clips from Ego4D and corresponding five-way multiple-choice questions tasks for each.",多模态模型 | VLM | 视频理解 | Video Understanding | 逻辑推理 | Reasoning | 不支持 | Unsupported,,学科 | Examination | 推理 | Reasoning,,4006165,opencompass,https://github.com/Open-Social-World/EgoNormia,https://arxiv.org/abs/2502.20490,https://opensocial.world/leaderboard,False,96,2025-03-06,2025-03-06,2025-03-06 16:45:43,EgoNormia,"EgoNormia 是一个具有挑战性的问答基准，用于测试 VLMs 在上下文中推理规范的能力。该数据集包含来自 Ego4D 的 1,853 个物理基础化的以自我为中心的交互剪辑，以及每个剪辑对应的五选一多项选择题任务。","EgoNormia is a challenging QA benchmark that tests VLMs' ability to reason over norms in context. The datset consists of 1,853 physically grounded egocentric interaction clips from Ego4D and corresponding five-way multiple-choice questions tasks for each.",https://huggingface.co/datasets/open-social-world/EgoNormia,False,False
1606,MCiteBench,https://hub.opencompass.org.cn/dataset-detail/MCiteBench,1,1,False,False,False,0,未录入,"MCiteBench 是一个用于评估多模态大模型中多模态引用文本生成的基准，由 1,749 篇学术论文中的 3,000 个样本组成，包括 2,000 个解释任务和 1,000 个定位任务，在文本、图表、表格和混合模态中平衡证据。","MCiteBench is a benchmark to evaluate multimodal citation text generation in MLLMs. It consists of 3,000 samples from 1,749 academic papers, featuring 2,000 Explanation tasks and 1,000 Locating tasks, with balanced evidence across text, figures, tables, and mixed modalities.",多模态模型 | VLM | 跨模态推理 | Cross-modal Reasoning | 不支持 | Unsupported,,多模态 | Multimodal,,4006165,opencompass,https://github.com/caiyuhu/MCiteBench,https://arxiv.org/abs/2503.02589,https://caiyuhu.github.io/MCiteBench/,False,152,2025-03-20,2025-03-20,2025-03-20 14:11:57,MCiteBench,"MCiteBench 是一个用于评估多模态大模型中多模态引用文本生成的基准，由 1,749 篇学术论文中的 3,000 个样本组成，包括 2,000 个解释任务和 1,000 个定位任务，在文本、图表、表格和混合模态中平衡证据。","MCiteBench is a benchmark to evaluate multimodal citation text generation in MLLMs. It consists of 3,000 samples from 1,749 academic papers, featuring 2,000 Explanation tasks and 1,000 Locating tasks, with balanced evidence across text, figures, tables, and mixed modalities.",https://huggingface.co/datasets/caiyuhu/MCiteBench,False,False
1632,ProBench,https://hub.opencompass.org.cn/dataset-detail/ProBench,1,1,False,False,False,0,未录入,ProBench是一个包含需要大量专家级知识来解决的开放式多模态查询的基准。ProBench 包含 10 个任务领域和 56 个子领域，支持 17 种语言，并支持最多 13 轮对话。,ProBench is a benchmark that contains open-ended multimodal queries that require intensive expert-level knowledge to solve. ,多模态模型 | VLM | 跨模态推理 | Cross-modal Reasoning | 不支持 | Unsupported,,多模态 | Multimodal,,4006165,opencompass,https://github.com/Yan98/ProBench_eval,https://arxiv.org/abs/2503.06885,https://yan98.github.io/ProBench/,False,117,2025-03-13,2025-03-13,2025-03-13 15:31:13,ProBench,ProBench是一个包含需要大量专家级知识来解决的开放式多模态查询的基准。ProBench 包含 10 个任务领域和 56 个子领域，支持 17 种语言，并支持最多 13 轮对话。,ProBench is a benchmark that contains open-ended multimodal queries that require intensive expert-level knowledge to solve. ,https://huggingface.co/datasets/HelloKKMe/ProBench,False,False
1654,V-STaR,https://hub.opencompass.org.cn/dataset-detail/V-STaR,1,1,False,False,False,0,未录入,V-STaR 是一个针对 Video-LLMs的空间时间推理基准，评估 Video-LLM在“何时”、“何地”和“何物”的上下文中明确回答问题的空间时间推理能力。,"V-STaR is a spatio-temporal reasoning benchmark for Video-LLMs, evaluating Video-LLM’s spatio-temporal reasoning ability in answering questions explicitly in the context of “when”, “where”, and “what”.",多模态模型 | VLM | 跨模态推理 | Cross-modal Reasoning | 视频理解 | Video Understanding | 不支持 | Unsupported,,多模态 | Multimodal,,4006165,opencompass,https://github.com/V-STaR-Bench/V-STaR,https://arxiv.org/abs/2503.11495,https://v-star-bench.github.io/,False,153,2025-03-20,2025-03-20,2025-03-20 14:27:09,V-STaR,V-STaR 是一个针对 Video-LLMs的空间时间推理基准，评估 Video-LLM在“何时”、“何地”和“何物”的上下文中明确回答问题的空间时间推理能力。,"V-STaR is a spatio-temporal reasoning benchmark for Video-LLMs, evaluating Video-LLM’s spatio-temporal reasoning ability in answering questions explicitly in the context of “when”, “where”, and “what”.",https://huggingface.co/datasets/V-STaR-Bench/V-STaR,False,False
1667,MicroVQA,https://hub.opencompass.org.cn/dataset-detail/MicroVQA,1,1,False,False,False,0,未录入,MicroVQA，一个评估关于显微镜图像的多选题推理基准，由专家生物学家创建，旨在反映生物研究中能够有意义地协助的任务，每个问题都需要多模态推理。,"MicroVQA is a benchmark that evaluates LLM reasoning on multiple-choice questions about microscopy images, created by expert biologists.",科学智能 | AI for Science | 跨模态推理 | Cross-modal Reasoning | 科学推理 | Scientific Reasoning | 不支持 | Unsupported,,多模态 | Multimodal,,4006165,opencompass,https://github.com/jmhb0/microvqa,https://arxiv.org/abs/2503.13399,https://jmhb0.github.io/microvqa/,False,73,2025-03-24,2025-03-24,2025-03-24 18:48:38,MicroVQA,MicroVQA，一个评估关于显微镜图像的多选题推理基准，由专家生物学家创建，旨在反映生物研究中能够有意义地协助的任务，每个问题都需要多模态推理。,"MicroVQA is a benchmark that evaluates LLM reasoning on multiple-choice questions about microscopy images, created by expert biologists.",https://huggingface.co/datasets/jmhb/microvqa,False,False
1668,TimeTravel,https://hub.opencompass.org.cn/dataset-detail/TimeTravel,1,1,False,False,False,0,未录入,时间旅行分类将来自 10 个文明、266 个文化以及 10k+个验证样本的文物映射，用于 AI 驱动的历史分析。,"TimeTravel Taxonomy maps artifacts from 10 civilizations, 266 cultures, and 10k+ verified samples for AI-driven historical analysis.",多模态模型 | VLM | 跨模态推理 | Cross-modal Reasoning | 不支持 | Unsupported,,多模态 | Multimodal,,4006165,opencompass,https://github.com/mbzuai-oryx/TimeTravel,https://arxiv.org/abs/2502.14865,https://mbzuai-oryx.github.io/TimeTravel/,False,76,2025-03-24,2025-03-24,2025-03-24 18:48:21,TimeTravel,时间旅行分类将来自 10 个文明、266 个文化以及 10k+个验证样本的文物映射，用于 AI 驱动的历史分析。,"TimeTravel Taxonomy maps artifacts from 10 civilizations, 266 cultures, and 10k+ verified samples for AI-driven historical analysis.",https://huggingface.co/datasets/MBZUAI/TimeTravel/,False,False
1678,RSMMVP,https://hub.opencompass.org.cn/dataset-detail/RSMMVP,1,1,False,False,False,0,未录入,RSMMVP遵循与原始 MMVP 基准在自然图像上的类似流程，但针对遥感领域。根据 CLIP 盲对识别具有挑战性的视觉模式，并附带相应的问题、选项和真实答案。,"This dataset follows a similar procedure to the original MMVP benchmark on natural images but directed towards the remote sensing domain. Challenging visual patterns are identified based on CLIP blind pairs, accompanied with the correpsonding questions, options and ground-truth answer.",多模态模型 | VLM | 跨模态推理 | Cross-modal Reasoning | 不支持 | Unsupported,,多模态 | Multimodal,,4006165,opencompass,,https://arxiv.org/abs/2503.15816,,False,84,2025-03-26,2025-03-26,2025-03-26 15:56:27,RSMMVP,RSMMVP遵循与原始 MMVP 基准在自然图像上的类似流程，但针对遥感领域。根据 CLIP 盲对识别具有挑战性的视觉模式，并附带相应的问题、选项和真实答案。,"This dataset follows a similar procedure to the original MMVP benchmark on natural images but directed towards the remote sensing domain. Challenging visual patterns are identified based on CLIP blind pairs, accompanied with the correpsonding questions, options and ground-truth answer.",https://huggingface.co/datasets/IVUlab/RSMMVP,False,False
1704,Mono2Stereo,https://hub.opencompass.org.cn/dataset-detail/Mono2Stereo,1,1,False,False,False,0,未录入,用于测评立体影像转换，提供了动画，室内，室外，复杂，简单共五种场景的测试数据，总共约2500对测试样本。并提供了用于测评立体效果的评价指标-立体交并比。,"For evaluating stereo image conversion, it provides test data for five different scenarios: animation, indoor, outdoor, complex, and simple, with a total of approximately 2,500 test sample pairs. It also offers evaluation metrics for assessing the stereo effect.",多模态模型 | VLM | 视觉生成 | Visual Generation | 不支持 | Unsupported,Stereo Conversion,其他 | Other,,52300297,,https://github.com/song2yu/Mono2Stereo,https://arxiv.org/abs/2503.22262,https://mono2stereo-bench.github.io/,False,70,2025-04-02,2025-04-07,2025-04-07 10:30:36,Mono2Stereo,用于测评立体影像转换，提供了动画，室内，室外，复杂，简单共五种场景的测试数据，总共约2500对测试样本。并提供了用于测评立体效果的评价指标-立体交并比。,"For evaluating stereo image conversion, it provides test data for five different scenarios: animation, indoor, outdoor, complex, and simple, with a total of approximately 2,500 test sample pairs. It also offers evaluation metrics for assessing the stereo effect.",https://huggingface.co/Two-hot/Mono2Stereo/blob/main/mono2stereo-test.zip | https://huggingface.co/Two-hot/Mono2Stereo/tree/main | https://pan.baidu.com/share/init?surl=35vSm_ZqMrNA-qijVOvyhw&pwd=cej5,False,False
1706,KOFFVQA,https://hub.opencompass.org.cn/dataset-detail/KOFFVQA,1,1,False,False,False,0,未录入,KOFFVQA是一个精心设计的韩语自由形式视觉问答（VQA）基准测试，包含10个不同任务中的275个问题。,KOFFVQA is a carefully crafted free-form visual question answering(VQA) benchmark in the Korean language consisting of 275 questions across 10 different tasks. ,多模态模型 | VLM | 图像理解 | Image Understanding | 不支持 | Unsupported,VQA,多模态 | Multimodal | 理解 | Understanding,,4006165,opencompass,https://github.com/maum-ai/KOFFVQA,https://arxiv.org/abs/2503.23730,,False,69,2025-04-03,2025-04-03,2025-04-03 19:47:01,KOFFVQA,KOFFVQA是一个精心设计的韩语自由形式视觉问答（VQA）基准测试，包含10个不同任务中的275个问题。,KOFFVQA is a carefully crafted free-form visual question answering(VQA) benchmark in the Korean language consisting of 275 questions across 10 different tasks. ,https://huggingface.co/papers/2503.23730,False,False
1707,RXRX3-CORE,https://hub.opencompass.org.cn/dataset-detail/RXRX3-CORE,1,1,False,False,False,0,未录入,RxRx3-core数据集是Recursion为研究社区优化的表型组学挑战数据集。,"RxRx3-core dataset is a challenge dataset in phenomics optimized for the research
community. ",科学智能 | AI for Science | 跨模态推理 | Cross-modal Reasoning | 科学推理 | Scientific Reasoning | 不支持 | Unsupported,,其他 | Other,,4006165,opencompass,https://github.com/Xavi3398/fer_benchmark,https://arxiv.org/abs/2503.20428,https://www.rxrx.ai/rxrx3-core,False,67,2025-04-03,2025-04-03,2025-04-03 19:47:14,RXRX3-CORE,RxRx3-core数据集是Recursion为研究社区优化的表型组学挑战数据集。,"RxRx3-core dataset is a challenge dataset in phenomics optimized for the research
community. ",https://huggingface.co/datasets/recursionpharma/rxrx3-core,False,False
1732,SCAM,https://hub.opencompass.org.cn/dataset-detail/SCAM,1,1,False,False,False,0,未录入,"SCAM，是迄今为止规模最大、多样性最丰富的真实世界排版攻击图像数据集，包含数百个对象类别和攻击词汇的1,162张图像。","SCAM is the largest and most diverse dataset of real-world typographic attack images to date, containing 1,162 images across hundreds of object categories and attack words.",多模态模型 | VLM | 安全对齐 | Safety Alignment | 图像理解 | Image Understanding | 不支持 | Unsupported,Multimodal,多模态 | Multimodal,,4006165,opencompass,https://github.com/Bliss-e-V/SCAM,https://arxiv.org/abs/2504.04893,,False,70,2025-04-11,2025-04-11,2025-04-11 17:12:53,SCAM,"SCAM，是迄今为止规模最大、多样性最丰富的真实世界排版攻击图像数据集，包含数百个对象类别和攻击词汇的1,162张图像。","SCAM is the largest and most diverse dataset of real-world typographic attack images to date, containing 1,162 images across hundreds of object categories and attack words.",https://huggingface.co/datasets/BLISS-e-V/SCAM,False,False
