catalogKey,name,source,decision,evidence_source,input_file,date_field,release_date,precision,event,source_urls,library_decision,library_candidate_date,reason
llm-stats:ai2-reasoning-challenge-(arc),AI2 Reasoning Challenge (ARC),llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2018-03-14,day,paper_introduction,https://arxiv.org/abs/1803.05457,accepted,2018-03-14,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:ai2d,AI2D,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2016-03-24,day,paper_introduction,https://arxiv.org/abs/1603.07396,accepted,2016-03-24,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:aider,Aider,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2023-07-02,day,official_introduction_or_release,https://aider.chat/2023/07/02/benchmarks.html,accepted,2023-07-02,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:aider-polyglot,Aider-Polyglot,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-12-21,day,official_introduction_or_release,https://aider.chat/2024/12/21/polyglot.html,accepted,2024-12-21,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:aider-polyglot-edit,Aider-Polyglot Edit,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-12-21,day,named_component_or_alias_introduction,https://aider.chat/2024/12/21/polyglot.html,accepted,2024-12-21,"The reviewed Library date applies to the named component or alias already present at introduction. Stored identity/event evidence: Aider's original Polyglot announcement defines the percentage using the correct edit format in the same results table, resolving whether the Edit metric appeared with the original release. The date is copied exclusively from releaseEvidence; no independent benchmark-family release is asserted."
llm-stats:aime,AIME,llm_stats,scope_not_release,,,,,month,official_introduction_or_release,,scope_not_release,2024-02,"The frozen description explicitly identifies the AIME 2024 problems, matching this donor rather than AIME 2025. However, the supplied month dates the contest problems, not publication of this AI-evaluation corpus or protocol."
llm-stats:aime-2024,AIME 2024,llm_stats,scope_not_release,,,,,month,official_introduction_or_release,,scope_not_release,2024-02,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:aime-2026,AIME 2026,llm_stats,scope_not_release,,,,,month,official_introduction_or_release,,scope_not_release,2026-02,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:air-bench,AIR-Bench,llm_stats,identity_unresolved,,,,,day,paper_introduction,,identity_unresolved,2024-02-12,The frozen target is AIR-Bench 2024 safety/policy refusal. The supplied reviewed AIR-Bench candidate is audio understanding and explicitly distinguishes itself from the safety benchmark.
llm-stats:aitz-em,AITZ_EM,llm_stats,scope_not_release,,,,,day,paper_introduction,,scope_not_release,2024-03-05,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:alignbench,AlignBench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2023-11-30,day,paper_introduction,https://arxiv.org/abs/2311.18743,accepted,2023-11-30,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:alpacaeval-2.0,AlpacaEval 2.0,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-01-03,day,official_introduction_or_release,https://github.com/tatsu-lab/alpaca_eval/blob/main/README.md,accepted,2024-01-03,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:amc-2022-23,AMC_2022_23,llm_stats,scope_not_release,,,,,day,official_introduction_or_release,,scope_not_release,2024-06-14,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:amo-bench,AMO Bench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-10-30,day,paper_introduction,https://arxiv.org/abs/2510.26768,accepted,2025-10-30,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:android-control-high-em,Android Control High_EM,llm_stats,scope_not_release,,,,,day,paper_introduction,,scope_not_release,2024-06-06,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:android-control-low-em,Android Control Low_EM,llm_stats,scope_not_release,,,,,day,paper_introduction,,scope_not_release,2024-06-06,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:androidbench,AndroidBench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-03-05,day,official_introduction_or_release,https://android-developers.googleblog.com/2026/03/elevating-ai-assisted-androi.html,accepted,2026-03-05,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:androidworld,AndroidWorld,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-05-23,day,paper_introduction,https://arxiv.org/abs/2405.14573,accepted,2024-05-23,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:androidworld-sr,AndroidWorld_SR,llm_stats,scope_not_release,,,,,day,paper_introduction,,scope_not_release,2024-05-23,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:apex,Apex,llm_stats,scope_not_release,,,,,day,official_introduction_or_release,,scope_not_release,2026-06-03,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:apex-agents,APEX-Agents,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-01-20,day,paper_introduction,https://arxiv.org/abs/2601.14242,accepted,2026-01-20,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:apex-swe,APEX-SWE,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-01-13,day,paper_introduction,https://arxiv.org/abs/2601.08806,accepted,2026-01-13,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:api-bank,API-Bank,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2023-04-14,day,paper_introduction,https://arxiv.org/abs/2304.08244,accepted,2023-04-14,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:arc,Arc,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2019-11-05,day,paper_introduction,https://arxiv.org/abs/1911.01547,accepted,2019-11-05,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:arc-agi,ARC-AGI,llm_stats,scope_not_release,,,,,day,paper_introduction,,scope_not_release,2019-11-05,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:arc-agi-3,ARC-AGI-3,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-03-24,day,paper_introduction,https://arxiv.org/abs/2603.24621,accepted,2026-03-24,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:arc-agi-v2,ARC-AGI v2,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-03-24,day,official_introduction_or_release,https://arcprize.org/blog/announcing-arc-agi-2-and-arc-prize-2025,accepted,2025-03-24,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:arc-e,ARC-E,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2018-03-14,day,paper_introduction,https://arxiv.org/abs/1803.05457,accepted,2018-03-14,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:arcagi2,ArcAGI2,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-05-17,day,paper_introduction,https://arxiv.org/abs/2505.11831,accepted,2025-05-17,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:arena-hard,Arena Hard,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-04-20,day,official_introduction_or_release,https://arena.ai/blog/arena-hard,accepted,2024-04-20,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:arena-hard-v2,Arena-Hard v2,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-04-23,day,official_introduction_or_release,https://github.com/lmarena/arena-hard-auto,accepted,2025-04-23,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:arkitscenes,ARKitScenes,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2021-11-17,day,paper_introduction,https://arxiv.org/abs/2111.08897,accepted,2021-11-17,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:artifacts-bench,Artifacts Bench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-07-07,day,paper_introduction,https://arxiv.org/abs/2507.04952,accepted,2025-07-07,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:artificial-analysis,Artificial Analysis,llm_stats,scope_not_release,,,,,day,official_introduction_or_release,,scope_not_release,2026-07-10,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:arxivmath,ArXivMath,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-02-04,day,official_introduction_or_release,https://matharena.ai/arxivmath/,accepted,2026-02-04,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:attaq,AttaQ,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2023-11-07,day,paper_introduction,https://arxiv.org/abs/2311.04124,accepted,2023-11-07,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:autologi,AutoLogi,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-02-24,day,paper_introduction,https://arxiv.org/abs/2502.16906,accepted,2025-02-24,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:automationbench,AutomationBench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-04-21,day,paper_introduction,https://arxiv.org/abs/2604.18934,accepted,2026-04-21,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:automationbench-aa,AutomationBench-AA,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-07-06,day,official_introduction_or_release,https://artificialanalysis.ai/articles/announcing-zapier-automationbench-aa,accepted,2026-07-06,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:babyvision,BabyVision,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-01-10,day,paper_introduction,https://arxiv.org/abs/2601.06521,accepted,2026-01-10,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:bankertoolbench,BankerToolBench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-04-13,day,paper_introduction,https://arxiv.org/abs/2604.11304,accepted,2026-04-13,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:bbh,BBH,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2022-10-17,day,paper_introduction,https://arxiv.org/abs/2210.09261,accepted,2022-10-17,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:bc-vl,BC-VL,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-08-07,day,named_component_or_alias_introduction,https://arxiv.org/abs/2508.05748,accepted,2025-08-07,The reviewed Library date applies to the named component or alias already present at introduction. Stored identity/event evidence: The original WebWatcher paper constructs BrowseComp-VL and uses the abbreviation BC-VL in Table 2. The arXiv v1 date is 2025-08-07. The unrelated BiVLC found in search results is excluded. The date is copied exclusively from releaseEvidence; no independent benchmark-family release is asserted.
llm-stats:beam-128k,Beam 128K,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-10-31,day,named_component_or_alias_introduction,https://arxiv.org/abs/2510.27246,accepted,2025-10-31,"The reviewed Library date applies to the named component or alias already present at introduction. Stored identity/event evidence: The original BEAM v1 explicitly lists the 128K evaluation configuration, which appears in the original paper dated 2025-10-31. This does not establish a separate benchmark family or validate all providers' scoring configurations. The date is copied exclusively from releaseEvidence; no independent benchmark-family release is asserted."
llm-stats:benchcad,BenchCAD,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-05-11,day,paper_introduction,https://arxiv.org/abs/2605.10865,accepted,2026-05-11,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:benchcad-with-python-tool,BenchCAD (with Python tool),llm_stats,scope_not_release,,,,,day,paper_introduction,,scope_not_release,2026-05-11,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:beyond-aime,Beyond AIME,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-06-17,day,dataset_release,https://huggingface.co/api/datasets/ByteDance-Seed/BeyondAIME/commits/main,accepted,2025-06-17,The supplied date establishes the actual 100-question dataset upload. The older review dates the earlier public introduction. Both refer to different events; this round uses the reviewed dataset release and does not call it the earliest introduction.
llm-stats:bfcl,BFCL,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-02-26,day,official_introduction_or_release,https://github.com/ShishirPatil/gorilla,accepted,2024-02-26,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:bfcl-v2,BFCL v2,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-08-19,day,official_introduction_or_release,https://gorilla.cs.berkeley.edu/blogs/12_bfcl_v2_live.html,accepted,2024-08-19,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:bfcl-v3,BFCL-v3,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-09-19,day,official_introduction_or_release,https://gorilla.cs.berkeley.edu/blogs/8_berkeley_function_calling_leaderboard.html,accepted,2024-09-19,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:bfcl-v3-multiturn,BFCL_v3_MultiTurn,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-09-19,day,named_component_or_alias_introduction,https://gorilla.cs.berkeley.edu/blogs/8_berkeley_function_calling_leaderboard.html,accepted,2024-09-19,The reviewed Library date applies to the named component or alias already present at introduction. Stored identity/event evidence: BFCL's official v3-specific announcement introduces multi-turn tasks on 2024-09-19; MultiTurn is part of that release. This does not establish a separate benchmark family or validate all providers' scoring configurations. The date is copied exclusively from releaseEvidence; no independent benchmark-family release is asserted.
llm-stats:bfcl-v4,BFCL-V4,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-07-17,day,official_introduction_or_release,https://gorilla.cs.berkeley.edu/blogs/15_bfcl_v4_web_search.html,accepted,2025-07-17,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:big-bench,BIG-Bench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2022-06-09,day,paper_introduction,https://arxiv.org/abs/2206.04615,accepted,2022-06-09,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:big-bench-audio,Big Bench Audio,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-12-20,day,official_introduction_or_release,https://huggingface.co/blog/big-bench-audio-release,accepted,2024-12-20,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:big-bench-extra-hard,BIG-Bench Extra Hard,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-02-26,day,paper_introduction,https://arxiv.org/abs/2502.19187,accepted,2025-02-26,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:big-bench-hard,BIG-Bench Hard,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2022-10-17,day,paper_introduction,https://arxiv.org/abs/2210.09261,accepted,2022-10-17,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:big-finance-bench,Big Finance Bench,llm_stats,unmatched,,,,,,,,unmatched,,No reviewed Library identity found.
llm-stats:bigcodebench,BigCodeBench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-06-22,day,paper_introduction,https://arxiv.org/abs/2406.15877,accepted,2024-06-22,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:bigcodebench-full,BigCodeBench-Full,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-06-18,day,official_introduction_or_release,https://github.com/bigcode-project/bigcodebench,accepted,2024-06-18,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:bigcodebench-hard,BigCodeBench-Hard,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-07-18,day,official_introduction_or_release,https://github.com/bigcode-project/bigcodebench,accepted,2024-07-18,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:biolp-bench,BioLP-Bench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-08-26,day,paper_introduction,https://www.biorxiv.org/content/10.1101/2024.08.21.608694v1,accepted,2024-08-26,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:biomysterybench,BioMysteryBench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-04-29,day,official_introduction_or_release,https://www.anthropic.com/research/Evaluating-Claude-For-Bioinformatics-With-BioMysteryBench,accepted,2026-04-29,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:bird-sql-(dev),Bird-SQL (dev),llm_stats,scope_not_release,,,,,day,paper_introduction,,scope_not_release,2023-05-04,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:bixbench,BixBench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-02-28,day,paper_introduction,https://arxiv.org/abs/2503.00096,accepted,2025-02-28,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:blink,BLINK,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-04-18,day,paper_introduction,https://arxiv.org/abs/2404.12390,accepted,2024-04-18,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:blueprint-bench-2,Blueprint-Bench 2,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-05-04,day,official_introduction_or_release,https://www.linkedin.com/posts/andonlabs_introducing-blueprint-bench-2-first-signs-activity-7457122428608090113-3zg8,accepted,2026-05-04,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:boolq,BoolQ,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2019-05-24,day,paper_introduction,https://arxiv.org/abs/1905.10044,accepted,2019-05-24,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:browsecomp-long-128k,BrowseComp Long Context 128k,llm_stats,scope_not_release,,,,,day,paper_introduction,,scope_not_release,2025-04-16,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:browsecomp-long-256k,BrowseComp Long Context 256k,llm_stats,scope_not_release,,,,,day,paper_introduction,,scope_not_release,2025-04-16,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:browsecomp-vl,BrowseComp-VL,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-08-07,day,paper_introduction,https://arxiv.org/abs/2508.05748,accepted,2025-08-07,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:browsecomp-zh,BrowseComp-zh,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-04-27,day,paper_introduction,https://arxiv.org/abs/2504.19314,accepted,2025-04-27,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:c-eval,C-Eval,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2023-05-15,day,paper_introduction,https://arxiv.org/abs/2305.08322,accepted,2023-05-15,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:capture-the-flag-challenges,Capture-the-Flag Challenges (Internal),llm_stats,scope_not_release,,,,,day,official_introduction_or_release,,scope_not_release,2026-06-26,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:cbnsl,CBNSL,llm_stats,unmatched,,,,,,,,unmatched,,No reviewed Library identity found.
llm-stats:cc-bench-v2-backend,CC-Bench-V2 Backend,llm_stats,scope_not_release,,,,,day,official_introduction_or_release,,scope_not_release,2026-02-11,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:cc-bench-v2-frontend,CC-Bench-V2 Frontend,llm_stats,scope_not_release,,,,,day,official_introduction_or_release,,scope_not_release,2026-02-11,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:cc-bench-v2-repo,CC-Bench-V2 Repo Exploration,llm_stats,scope_not_release,,,,,day,official_introduction_or_release,,scope_not_release,2026-02-11,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:cc-ocr,CC-OCR,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2024-12-03,day,paper_introduction,https://arxiv.org/abs/2412.02210,accepted,2024-12-03,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:cfeval,CFEval,llm_stats,scope_not_release,,,,,day,official_introduction_or_release,,scope_not_release,2025-07-25,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:charadessta,CharadesSTA,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2017-05-05,day,paper_introduction,https://arxiv.org/abs/1705.02101,accepted,2017-05-05,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:chartmuseum,ChartMuseum,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-05-19,day,paper_introduction,https://arxiv.org/abs/2505.13444,accepted,2025-05-19,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:chartqa,ChartQA,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2022-03-19,day,paper_introduction,https://arxiv.org/abs/2203.10244,accepted,2022-03-19,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:chartqapro,ChartQAPro,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-04-07,day,paper_introduction,https://arxiv.org/abs/2504.05506,accepted,2025-04-07,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:charxiv-d,CharXiv-D,llm_stats,scope_not_release,,,,,day,paper_introduction,,scope_not_release,2024-06-26,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:charxiv-r,CharXiv-R,llm_stats,scope_not_release,,,,,day,paper_introduction,,scope_not_release,2024-06-26,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
